,Comments
1950,I applaud you South Africa ❤️<br>Thank you from the US 🙏
1951,I hope this variant will end the pandemic.
1952,Thank you South Africa! We love you!
1953,"As much as it spreads faster, I&#39;m praying🙏 that symptoms with omicron remain mild to moderate...and that it should dominate over the more virulent coronaviruses.."
1954,When travel can resume the world should thank south Africa by visiting as much as possible. We own the nations scientists a deep debt of gratitude.
1955,"I don’t understand we other countries are panicking. We’re literally going on with life like the past 3 months with slight more hospitalisation, very few deaths and mild symptoms. We’re learning to live with it."
1956,We know how you feel south Africa. sending love form India.
1957,God Bless South Africa. .
1958,"By the way...<br>...more transmissible, less severe...<br>...look&#39;s like this variant is moving faster towards herdimmunity than humanity..."
1959,My solidarity with African Brothers and sisters ❤
1960,Stay safe our south Africans brothers and sister ❤❤❤❤
1961,That&#39;s what happened with the Spanish Flu. The Spanish newspapers of the day where the only ones who were objectively reporting what was going on and the country got branded with the nickname...
1962,Omicron is a more transmissable variant but the cases are showing to be much milder which could help achieve herd immunity sooner.
1963,cases mean nothing unless they result in hospitalizations and or deaths.
1964,Gets me how our government in the US is blowing this out of proportion and the media is just loving it
1965,"Interestingly, South Africa was not requiring people to be vaccinated to enter the country and was enjoying the unvaccinated tourism and now, having a huge spike, feels they are being punished."
1966,"I don&#39;t get it.  Omicron doesn&#39;t make you very sick, whereas delta can make you very, very sick.  So what&#39;s the big deal with omicron?"
1967,"Other countries want to reduce the seeding rate from places where Omicron is rampant, same as South Africa put travel bans in earlier."
1968,"America loves Southern Africa! ❤️ Thank you for what you did, and sorry about the political ban 😞 - American people are very critical about it, and we are demanding our leaders do better! 💜💙💛💚🧡"
1969,"Life after covid infections will see ,I hope ,the deletion of huge gatherings and festivals because of it being a spreader event  but mostly it is a drug event ...we do need these release times and masses of people creates a great feeling but unfortunately they create more harm than good .....smaller  outdoor events would be better ...festivals used to be like that .."
1970,"Hi Ben, the occasion could be better, but I&#39;m glad to see you again and that you&#39;re doing well. The last time we met was 20 years ago in Düsseldorf (with Sven). :)"
1971,"All who wanted to attend Rage had to get vaccinated and have negative pcr tests. Everyone is fine in SA, no need to panic. Life is still normal here, don&#39;t know why they&#39;re making such a fuss. We&#39;re just fine. The informal settlements make up most of our population and they&#39;ve NEVER been on lockdown. Breath, live life xxx Bless you all!"
1972,Even delta was mild for young people. The carnage began about a month into delta when it hit the old folks. Let&#39;s see.
1973,"Huge gratitude to Wolfgang, Derrick and DW, excellent segment on what we know and are still waiting to find out on Omicron. 👍🙏"
1974,Hope everything ok ☺️
1975,Omicron rates down from  Saturday 1600 to 600 yesterday in South Africa
1976,After the previous strains what were the other countries supposed to do? They had to try and minimize the threat by closing borders.
1977,"So the virologist criticises the countries which have stopped passenger travel to SA yet he praises the cancellation of a local festival. Mr virologist, cutting the transmission rate in other countries is more important then feeding the SA tourist season"
1978,"Omicron isn’t shaping life in SA, politician’s and government are! Interesting how the media uses language these days."
1979,Well done South Africa.<br>Great reportage from Cape Town
1980,Guy says its seems less severe but then says it’s early in the disease course and young people are the ones infected. How can you conclude less severe with those caveats?!
1981,So if it’s less severe why the panic?
1982,"Whe have 50 cases of the Omicron virus in Europe, and no one of them has ended in hospital."
1983,Virologist Kaiser:  Large group gatherings should not be allowed.  Also virologist Kaiser:  Tourism should not be restricted.  Seems contradictory.
1984,"Since the Omicron variant shows less threatening symptoms, my very next question would be: &quot;How likely is this variant to mutate compared to the other variants?&quot;<br>I&#39;d assume the gene sequence could tell us if its more or less likely to mutate but that might not be accurate."
1985,"Yes, omicron will have higher transmission rate but it will be milder. These are effects and consequences of biological evolutional law, which governs  the behavior and biology of viruses too."
1986,"Judging from the title, Omicron Persei 8 has an emmissary in South Africa ! Please introduce him/her to the rest of the world as soon as humanly possible. The new and internationally authorized correct spelling of emmissary appears here for the first time in printed history. You&#39;re welcome."
1987,"Yeah, our scientists are getting a lot of flak for telling everyone what was going on, even though symptoms are so mild😅 you can&#39;t win"
1988,"Just let this sink in. South Africa is testing a lot and they have a lot of cases of the new omicron variant. Meanwhile, its neighboring countries don&#39;t test a lot and they don&#39;t have a lot of covid cases. Their hospitals are also mostly covid free. It seems that not giving attention to the covid virus and living life as usual is the way to treat this Wuhan virus."
1989,"Now we hear of two zoo hippos testing positive, cats and deer also, can we catch it from animals and, if so, how do we differentiate between human and animal transmission to humans? Could this, even in part, be the reason for such fast spreading in Africa?<br>Pointless locking us all down if the cat gives it to you?"
1990,Be content when we are still healthy and survive.
1991,Why not talk about how the infection is not effecting serious concern. And rate of hospitalizations and recovery rate. Without giving all bad news..is not that your responsibility.
1992,It is a sign of virus weakening. Good sign. That’s the way it subsides . Good for everyone
1993,Is there any possibility you are likely to get it worse the second / third time of having covid? Thanks
1994,No point in travel bans ... !
1995,"I never saw it as being punished. It was more on taking precautions. Ofcourse we thank South Africa for telling the world about this! On the other hand, we have to learn from previous experience. Thank you South Africa! We will get over this soon!"
1996,"I&#39;m sorry, but it doesn&#39;t make sense to me to complain about travel bans being implemented, yet being in support of shutting down music festivals.  Maybe if you backed this up with a mathematical model, I might be able to follow this.  But travel is long distance, so really spread the variant across the world rapidly.  If it is safe because of testing or vaccination, it should be possible to make the music festival safe, since it has lower chance of spreading the variant across long distances."
1997,"The more data we receive, the less it seems to me that I need to be vaccinated.. Data is often a stubborn thing."
1998,Prayers for South Africa 🙏
1999,Cutting of South Africa was not a punishment it was done to slow the progress and give other countries a chance to prepare.
2000,I hope it&#39;s the last time you guys announce a variant in South Africa. Let other countries announce it from now onwards.
2001,South Africa is a transparent country unlike many others
2002,Anybody who avoids south Africa because of anything. You&#39;re missing out.  The land of all seasons through out the whole year.
2003,Why not the good news at the BEGINNING of the report?😉
2004,Other countries are smarter than the united states on this health crisis in my opinion because other countries out there have 80% population vacinated the united states don&#39;t there logic were Smarter handling it better.
2005,Love from Italy to SA! 🇿🇦 🇮🇹
2006,No shutdown. Live your life.
2007,I love the man accent thank u for keeping us informed😊
2008,"they must not see this as punishment it is just normal, keep the virus as contained as possible until the other countries get a little ready for it"
2009,Maybe this variant will be endemic 🤷🏻‍♀️
2010,🇿🇦 South Africa 🇿🇦 identified both 🇿🇦Beta 🇿🇦and 🇿🇦 Omicron 🇿🇦 4th wave begins 🇿🇦 so far predominantly younger groups have been infected 🇿🇦 can reinfect folk who previously had a different variant of covid 🇿🇦 can infection folk who are fully vaccinated 🇿🇦 can infect people with partial immunity 🇿🇦 <br><br>🌎 world travel bans on South Africa 🇿🇦 livelihoods &#39;all but ruined&#39; <br><br>🇿🇦 wrong time to be holding mass participation events  🇿🇦<br><br>🇿🇦 vaccination rates are far too low  🇿🇦<br><br>🇿🇦 events in the open air and with very low numbers only  🇿🇦 <br><br>🇬🇧 found Alpha<br>🇿🇦 found Beta<br>🇿🇦 found Omicron<br><br>🌎 global community is risking good will with  🇿🇦 how South Africa has been treated 🇿🇦
2011,"I live in south africa , we are fine, nothing to worry about just yet."
2012,"Such a large country SA, and yet no other industries other than tourist based?"
2013,Contrast to China&#39;s lack of disclosure - have they learned?
2014,Younger people will only have mild symptoms of they are healthy older people with health conditions will have worse symptoms
2015,Africans are so lucky. They will have mild symptoms and become protected. No need for vaccines that no one really tested properly.
2016,What about Anti-Corruption Vaccine?
2017,I wish there were other ways to stop the spread without punishing the South African people.
2018,"thank you south africa , much love from usa .... we love you  ..i will not fear the virus , like phorah did the plagues , i fear the MOST HIGH .............. GOD BLESS SOUTH AFRICA"
2019,"So would South Africa wish to follow in the footsteps of the Chinese and leave the entire world in ignorance. <br>The retribution would have been far worst from the G10 countries.<br>South Africa did the right thing, it can attend to its citizens. Even if the world cuts it off in regards travel there will still be trade and commerce and more importantly no sanctions, which would have been the case if South Africa had kept schtum."
2020,"japan has 60 cases of covid per day now, they gave permission for doctors to proscribe ivermectin on 13 /08/2021"
2021,Shame on all you murderers!! Your da  uh will come. Good always prevails over evil!!
2022,Sorry you are being punished for doing the right thing. I guess you learned your lesson.
2023,Covid is becoming more like cryptocurrency.
2024,Here in europe we have more problem with the Vaccicron variant.
2025,Why plan a event in the middle of a pandemic ?
2026,How many deaths?   What are the Omicron deaths vs Delta?
2027,Another Booster Promo from another News Source Good Job DW 👌
2028,What&#39;s next after omicron...<br>Atticus variant<br>Calico variant<br>Septicoucious variant<br>These variants are out there somewhere.
2029,Amazingly misinforming...
2030,"SA should have told WHO first, and let them make the announcement"
2031,Life Long and healthy for future parties. But for now just stay home and healthy.
2032,Spike protein radically changed --- the disiese outcome changed = the spike protein itself the root of the problem (?)
2033,Borderline criminalized? I’ll show you criminalized!🧐
2034,"He showed more credibility by fulfilling his promise. Big thanks to 👆 for the 22,000 euro sent"
2035,Yet you have no problem having people die because of your business.    What’s the definition of evil.
2036,Why could they not test the students after the festival ??
2037,So they took their experience and moved a lot faster. That will get attention next time
2038,We were definitely punished with the travel ban.
2039,The world should thank China for this!!
2040,Amazingly misinforming
2041,They got so beat up prior to this that they&#39;ll be fine. It&#39;s everybody else I&#39;m concerned about.
2042,Thank God
2043,"We here in UK got punished by EU nations when we discovered a variant as we had far better testing than EU. We didnt complain, neither should SA."
2044,That&#39;s the problem life got back to normal.  We can&#39;t have that they want total control.
2045,And I&#39;m pretty sure this dint start in Africa everyone ran to Africa when bans were lifted.there rates were the lowest til people started coming down there . There has been transmission between people in places were know one has been to Africa at all ! Community transmission on islands how . By numbers they would be least possible to promote mutations.
2046,Sad until now I&#39;m still waiting for Z variant.
2047,"As always, we&#39;d love to include your questions in our upcoming shows! What would you like to know about the coronavirus pandemic? <a href=""http://www.youtube.com/results?search_query=%23askderrick"">#askDerrick</a>"
2048,These young people are the ones I like to hear. What a delightful and intelligent young man.
2049,"at the end, you&#39;re talking about US. Fine. But how about Portugal &amp; Israel? With almost 90% vaccination rate they are still in lockdown, travel ban (Israel) and high surge of the 4th wave. Why? Why should people vaccinate if that is expected anyway? Just for mitigating the personal risk? It might not be enough.(signed: a vaccinated reader)."
2050,"When you speak about vaccinated vs unvaccinated, please refer to demographics, otherwise your assertions are meaningless. Unvaccinated children get over covid much easier than vaccinated adults and elderly who have breakthrough infections. Breakthrough infections, by the way, are becoming very common amongst those who received their dose five or more months in the past."
2051,Just wondering when you say unvaccinated do you also mean the same issues apply to those who have recovered?
2052,"Omikron, our savior? Omikron has exponential rate growth detected in the south-african sewer systems. But hospitals do not fill with omicron cases. In fact, omicron cases are incidentally detected on patients that came in for other illnesses. Comparison of previous waves (Pw) vs omicron wave (Ow): <br>Length of hospital stay: Pw: 7.8 vs Ow: 2.8 days. Need for Oxygen: Pw: 70% vs Ow 30%. Despite the dramatic rise in the case rate for the Gauteng Province there is an absence of any significant increase in in-hospitals deaths. Too early to draw conclusions but the trend is promising."
2053,The US CDC director just said (yesterday) that over 75% of covid deaths were in people with at least four comorbidities with average age at TOD of 72 years old.
2054,The US CDC director just said (yesterday) that over 75% of covid deaths were in people with at least four comorbidities with average age at TOD of 72 years old.
2055,&quot;We lie. We cheat. We steal.&quot;<br>-Pompeo
2056,If all dies then there will be no need of lockdown 😆
2057,"J Bhattacharya, is the Head of Medicine at Stanford University California (and also an expert in infectious diseases) and recently said “the lockdowns were the biggest public health mistake, of all time.”"
2058,Vaccine and testing mandates will have to be the strategy.
2059,There is this thing where governments ignore that Delta spreads well enough among the vaccinated to be problematic and not consistent with their narratives.<br><br>The epidemiological relevance of the COVID-19-vaccinated population is increasing - The Lancet Regional Health – Europe<br><br>COVID-19: stigmatising the unvaccinated is not justified - The Lancet <br><br>There are problems with the official narrative.
2060,The hairdo of this guest is a lot scarier than covid to be honest 🤨🤨
2061,This is dragging uncessarily long cause we &#39;entertain&#39; their stuvidity to the extent now they are &#39;biting&#39; us hard.<br><br>What needs to be done to reverse this is to get ourselves united in all fronts and fight all out!!<br><br>We need to stop giving &#39;stage&#39; to these jokers...ENOUGH IS ENOUGH!!!<br><br>let&#39;s go Brandon!!
2062,Getting the balance right should start with an equitable distribution of vaccines
2063,“Its getting easier”. Almost becoming a way of life”. aka “a new normal”
2064,How about we just start to fine people for getting sick.
2065,Is to get the anti vaxers get treated by anti vax professionals. It&#39;s going to be lovely.
2066,"Nuremberg Code (1947).<br>* In the face of a medical procedure, the VOLUNTARY CONSENT OF THE HUMAN SUBJECT is absolutely essential, without the intervention of any element of force, fraud, deception or coercion.<br><br><br>* Anyone who facilitates the violation of the Nuremberg Code would put themselves in a position to be charged with committing a crime against humanity."
2067,What happened to &quot;We will not be able to vaccinate our way out of this&quot;?<br>We vaccinated our way out of Polio and it took only 106 years!
2068,"People who don&#39;t vaccinate probably think:- &quot;why am I going to vaccinate if nothing will change?, If everything will be the same, if I am going to wear a mask, if they are going close everything? If I have to vaccinate again and again?&quot;"
2069,"Hopefully Omicron will be less problematic. Sounds more transmissible, but milder symptoms."
2070,"The difference between Asian and Western, in the street they wear masks no matter what. There were some unmask but mostly they got warnings from others. It doesn&#39;t matter about the effectiveness or being free. It&#39;s all about caring."
2071,"When try to create fear, and the expert does not know the script Very well and he&#39;s lost"
2072,"The right balance is to advise only to people to do this or to do that. If you don&#39;t force people, it will be ok."
2073,"“If you do not change direction, you may end up where you are heading.”<br>Apply the following diet plan strictly for some days during covid 19 infection and you have no fear of any type of pneumonia and inflammation. <br>Non - inflammatory food list <br>1. All the meaty products (everything, like eggs,  pork, beef, mutton, chicken, fish etc. ). <br>2. Wheat ( and all the products that are made from pure wheat, not biscuits or cookies because they contain vegetables oil). <br>3. Gram, cheakpea( chana or kabuli chana). Masoor dal. <br>5. Green leaves like spinach, lettuce, etc.  ( green leaves mustn&#39;t be sour or bitter ). <br>6. All the Derry products (they must be made of pure animal milk like butter clarified,  curd, cheese, fresh milk ). <br>7. Pure Mustard oil, turmeric powder, red chili powder , white sugar, sea salt, coriander powder and leaves, butter clarified. <br>8. Lemon ( lemon is a non - inflammatory thing  but it acts differently with different  foods, with the suggested foods it would never be a cause for inflammation). <br>If someone  get affected with covid 19, he must avoid lemon for some days because he already would have eaten something that lemon acts as inflammatory thing. But if the patient  eating strictly the suggested diet for more than 18 days then he can add lemon  in his regular diet it will never be inflammatory then. The patient has to apply this diet plan very very strictly because consumption of a single fruit, dry fruit, vegetable, or non suggested grain, lentil or vegetable oil can affect the whole result. <br>Note- feed your infants with mother milk or pure animal milk,( formula  milk acts like a poison during the covid 19 infection because it contains vegetables oil.<br>(if the patient follows this diet plan strictly his body acts over covid 19 like an animal body does, he may be get affected  but  never faces the worst ).."
2074,I had the Pfizer booster 6 months after my second AstraZeneca. How long after the booster before I get maximum protection from hospitalisation?
2075,&quot;Do what we say or else&quot;
2076,When Economy 🌏 🌍 🌎 🌎 🌎 stop 🛑 probaly everyone go to be poor 🤔 🏗️🏗️🏗️🏭🏭🏭♨️♨️🚂🎪🎢🚈🚘🚖🛴🚲🚜🚔🚕🚥🚨⛽🛢️🚨🚁🛬🛫🚀🛰️🚀💲💱💹💹💷💷💵💵💵💱💹💰💴💵💷💶💶💶💶💶💶💶💶💶💶💶💶💶💷
2077,Thanks to Trudeau we have another variant because he let the planes fly allover   the world.
2078,Let all the unhealthy die and the fit and stronge move on.
2079,"notice the clips from asian countries: despite the vaccine,  the people are wearing masks.  compare this with the clips from europe. then compare the daily covid cases.  i asked a niece in UK if she is wearing masks. she says no because she is already vaccinated. we here in asia still wear masks because we know that the vaccine will just mitigate the effect and there is still a possibility that we we will be infected depending on the viral load."
2080,We&#39;re left in the dark about omicron
2081,Increase in severe cases in Seoul. They’re not obese or unhealthy.
2082,Thank you
2083,&quot;Maybe that is a question you should ask Chy-na.&quot; DJT
2084,"We are stuck in a loop now, new variants, <br>Restrictions, booster and repeat. <br><br>Collective hysteria."
2085,&quot;Mankind will not have peace until it turns with trust to My mercy.&quot;
2086,"O merciful to the meek ,save me .I have walked enough .I&#39;m tired now"
2087,It&#39;s all about compliance. Wake up!
2088,GIRLS THIS WILL KEEP U WARM THIS CHRISTMAS LOCKDOWN BABE!! 😉🎅🏻⛄️
2089,How to prevent another lockdown in the future? PCR test and quarantine mandatory for people coming in from abroad.
2090,"Prevent more lockdowns, get rid of current  governments,  we won&#39;t forget your police state action&#39;s."
2091,DW News: How to prevent the next lockdown?<br><br>Me: Perhaps stop people from going to Olympic Games and football World Cups. ⚽️ 🦠 ✈️ ☣️
2092,"... omicron is just a cold Pretoria ... we are lucky here ,,,  we will pray for you living with delta .."
2093,"4 It was destroyed, the earth fell; got sick, the world fell; the high peoples of the earth have sickened. 5 And the land was polluted under its inhabitants; because they transgressed the laws, they falsified the law, they broke the everlasting covenant. 6 For this reason the curse consumed the land, and its inhabitants were laid waste; for this cause the inhabitants of the earth were consumed, and men were diminished.<br>7 The wine is lost, the vine is sickened, all who were merry in heart groaned.<br>8 The rejoicing of the tambourines has ceased, the noise of those rejoicing has ceased, the joy of the harp has ceased.<br>9 They will not drink wine with singing; cider will be bitter to those who drink it.<br>10 The city is broken by vanity; Every house has been closed, so that no one can enter.<br>11 There are cries for lack of wine in the streets; all joy was darkened, joy was banished from the earth.<br>12 The city was desolate, and the gate was broken down with ruin.<br>13 For so it shall be in the midst of the earth, in the midst of the peoples, like a shaken olive tree, like gleanings after the harvest.<br>Isaiah 24: 4-13.<br>-<br>6 And you will hear of wars and rumors of wars; See that you are not disturbed, because it is necessary that all this happens; but the end is not yet. 7 For nation will rise against nation, and kingdom against kingdom; and there will be plagues, and famines, and earthquakes in different places. 8 And all this will be the beginning of pain. Matthew 24: 6-8 JESUS.<br>-<br>26 “Just as it happened in the time of Noah, so it will also be when the Son of man comes. 27 They ate, they drank, and they married and gave in marriage, until the day that Noah entered the ark; then the flood came and destroyed them all.<br>28 “The same thing happened in Lot&#39;s time: they ate and drank, bought and sold, sowed and built. 29 But on the day that Lot left &#39;&#39; &quot;&#39;(Sodom)&quot;&#39; &#39;&#39;, it rained fire and brimstone from heaven and destroyed them all.<br>30 “So it will be on the day the Son of man is revealed. Luke 17: 26-30 JESUS<br>-<br>9 And when you hear of wars and seditions (protests against their rulers), do not be alarmed; because it is necessary that these things happen first; but the end will not be immediately. 10 Then he said to them: Nation will rise against nation, and kingdom against kingdom; 11 and there will be great earthquakes, and in different places famines and pestilences; and there will be terror and great signs from heaven.<br>Luke 21: 7-11<br>-<br>12 and because wickedness has multiplied, the love of many will grow cold.<br>13 But he who endures to the end will be saved. 14 And this gospel of the kingdom will be preached in all the world, for a witness to all nations; And then the end will come. Matthew 24: 12-14<br>-<br>22 And if those days were not shortened, no one would be saved; but because of the elect, those days will be shortened. Matthew 24:22 JESUS<br>-<br>8 But God shows his love for us, in that while we were still sinners, Christ JESUS ​​died for us.<br>9 For much more, being justified by his blood, by him we will be saved from wrath.<br>10 For if, being enemies, we were reconciled to God by the death of his Son, much more, being reconciled, we will be saved by his life. Romans 5: 8-10<br>---<br>16 “Because God loved the world so much that he gave his only Son (JESUS), so that everyone who believes in him may not perish, but may have eternal life. John 3:16<br>-<br>18 Come quickly, says the Lord, and let us be aware: if your sins are like scarlet, they will be white like snow; if they are red like crimson, they will become like white wool. Isaiah 1:18<br>-<br>9 that if you confess with your mouth that Jesus is Lord, and believe in your heart that God raised him from the dead, you will be saved.<br>10 For with the heart it is believed for righteousness, but with the mouth it is confessed for salvation.<br> Romans 10: 9-10<br>--23 For the wages of sin is death, but the gift of God is eternal life in Christ Jesus our Lord. Romans 6:23<br>-<br>12 And in no other is there salvation; for there is no other name under heaven, given to men, by which we can be saved. Acts 4: 11-12<br>-<br>10 so that in the name of Jesus every knee should bow, of those who are in heaven, and on earth, and under the earth;<br>11 and every tongue confess that Jesus Christ is Lord, to the glory of God the Father. Philippians 2: 10-11<br>-<br>12 But to all who received him, to those who believed in his name, he gave the right to become children of God; John 1:12<br>-<br>6 Jesus said to him: I am the way, and the truth, and the life; no one comes to the Father except through me. John 14: 6<br>-<br>23 But the hour is coming, and now is, when true worshipers will worship the Father in spirit and in truth; because the Father also seeks such worshipers to be adored.<br>24 God is Spirit; and those who adore him, in spirit and in truth it is necessary that they adore.<br>John 4: 23-24<br>27 Peace I leave with you, my peace I give you; I don&#39;t give it to you like the world gives it. Not your heart be troubled, neither let it be afraid. John 14:27<br>JESUS.<br>There is power in THE NAME OF JESUS...."
2094,Israel has shown the boosters really work.
2095,stop spreading panic
2096,People are not accepting of these conditions  the government isn&#39;t leaving a choice and most people just want to get on with our lives but its never enough is what people don&#39;t understand and this will never end until we make it end
2097,Unfortunately I think is like all the said in the past this is gonna go away in 10 years because it gets worse in worse every year 😔
2098,Where do you find those guys they don&#39;t know how to talk properly 🙄👎
2099,Its a not problem u can do it but u dont worry i can handle this u issu me help this not issu normal all school collages open so not problem is ok me help its a not issu normal pov
2100,Why this guy is smiling when taking about future pandemics?
2101,"the only way out of this is to remove all restrictions and lockdowns, and let people choose their medical decisions. So simple."
2102,Being unvaxed does not make people dangerous. Vaxed people have the same viral load and can still pass it on.
2103,Monoclonal Antibodies Treatment. Look into it
2104,Its a solves u all problem
2105,Another lying channel
2106,Mask not mandatory tho! but folks PUT YOUR MASK BACK ON😡. Please🙏🏾
2107,I cant do it
2108,khzr / maf/as always  is mocking you/// do not obey them
2109,Hii
2110,Learn from Italy in matters how to prevent another lockdowns.
2111,Unlimited covid19 Jesus Christ is coming repent is not too late at the end of the world
2112,"Natural immunity would have best in 99.7%  of people, virus would have been gone in 2 years, as spanish flu died out, but now with part virus vaccinations, the virus can mutate and mutate and mutate and so on,"
2113,Illuminati clans…
2114,i can tell you this. YOU ARENT LOCKING ME DOWN AGAIN! MERICA!!!
2115,..........Impfstoff  mach  Frei  .   Impfstoff  mach  Frei  .
2116,"I think is also relevant to say that while during the 1st wave European countries were supporting us by hospitalising our patients abroad, we are now showing solidarity to our friends by taking care of their harshly infected citizens, in light of their full domestic ICUs. For example we already started welcoming German patients in Northern Italy."
2117,"I wish Italy a safe and happy holiday season. They certainly deserve it, as they have really taken it on the chin from this devilish virus. Hopefully, for all of us, this new variant will not bring us any nasty surprises."
2118,"The lesson here is: &quot;learn from your mistake&quot;. We messed up so badly at the beginning that it pushed us, for once, to focus on doing things right."
2119,"Well done Italy, congratulations 👏👏👏👍😀"
2120,"AS FAR AS I HAVE MY EXPERIENCE WITH THE MEDICAL DOCTOR IN VENETO, THEY ARE VERY COMPETENT AND KIND."
2121,"I love Italy. I have been there 3 times! and I fall in love with Venezia then, decided to continue study in Italy"
2122,"You know the world has changed when the Italians are being rational and follow science. God bless Italy, my favourite country in the world."
2123,The obvious lesson is that a failure to deal with the effects of the pandemic in a timely fashion will grind a nation to a halt if the health system is overwhelmed...
2124,Excellent job Italy!!!
2125,"I love your video at large but i will advice everybody who is into cryptos to Stick with ETH, SHIBA, CARDANO, GOLD AND BTC as much as you can guys. If everyone sells when it starts to fall, which at one point it will, the dream may be lost because of it being too volatile for companies to get behind."
2126,Stay careful Italy ❤
2127,Well done Italy 🇮🇹. You’ve learnt and made excellent progress. Love from Singapore 🇸🇬
2128,"Just came back from Verona, Christmas markets are open, restaurants, museums and everyone is wearing masks 😷 indoors/outdoors. Green pass is required for Italians and vaccinations proof for tourists. Felt like life is almost back to normal. Well done Italy 🇮🇹 👍👍"
2129,We remember Italy was hardest country with infection since 2020 before New York
2130,Seeing Italy cop it rough in the early days of the plague was shocking. 😶
2131,I love Italian people they take Covid seriously
2132,"At the Moment in Italy, we have {almost) the 90% over 12 vaccinated. In intensive care we have 800 people: 550 are no vax. Under 40 in intensive care are only no vax. The Numbers are clear for eversione Who have a little bit of brain. As the Doctor said, is important not only the vax, but also wearing the mask especially in enviroment closed."
2133,"<b>LOVE IT!!! I&#39;M IN THE U.S. AND CONTRARY TO POP BELIEFS,MY COUNTRY IS DUMB!</b>"
2134,THE ITALIANS ARE TELLING THE TRUTH.
2135,"My God! After almost two years, Germany is still in the learning stage, and that is why Germany has 70k daily."
2136,Excellent report on the Pandemic by DW News.
2137,"As an American I can say this is true......and although the numbers have skyrocketed over the past 2 weeks, the death counts remain rather low....200-300 a day rather than 5000 a year ago."
2138,This aged well! So fun that we were sure to be the best in Europe in November 🙈
2139,Bravo Italia..Im very proud of what they doing here
2140,"I for once am really happy to be an Italian citizen. Miraculously over the past year we had strong and competent leadership. I already got my booster-shot, fast and well organized in a vaccination centre."
2141,"1 in 7 children still suffering from symptoms over 3 months after infection , and we’ve been gas lit for two years being constantly told in US and UK that children aren’t affected."
2142,Bellissima Italy 🇮🇹💋
2143,Italy did the good job
2144,"We&#39;ve learn that  the higher the vaccination rate, the higher the spreading of covid rate. What does that tells you?"
2145,Viva 🇮🇹!
2146,"Im not ok with all of the measures because there is a two class society now that has been ripped apart, but I have to say, bravo Mario Draghi. <br><br>I dont agree with everything he does, but he is really concerned about the citizens and a honest competent man. <br><br>Even if I think we are going in the wrong direction as a society, I appreciate his commitment to his ideas."
2147,Well done Italia. <br>Wish we had a Green Pass and similar measures.
2148,What is problem with Closing schools and cancelling Boards ? <br>Doesn&#39;t government know that it will spread omicron to entire nation ?<br>Poor students and their parents . They will suffer alot.
2149,The media and governments are to blame for not talking about health. We have been in this pandemic for 2 years now. Things would have been very different if we actually promoted health which has the strongest efficacy against infection and death for every disease..
2150,I am proud of my country and 87% of the Italians who are vaccinated. 👍💚❤️🇮🇹
2151,"As always, we&#39;d love to include your questions in our upcoming shows! What would you like to know about the coronavirus pandemic? <a href=""http://www.youtube.com/results?search_query=%23askderrick"">#askDerrick</a>"
2152,Let&#39;s take this very seriously and we will all be fine.
2153,"I have got my second Vaccine 💉 3 days ago and feel ok, my recommendation to those who are afraid of it Do Not afraid and get vaccine to save your life and other lives."
2154,"well done. when come to unseen, it should be prepared for the worse, not dreaming for the better. Some government just a joke."
2155,"Viva l&#39;Italia e i Tosi Veneti, una delle poche volte che don fiero di dirlo 🥳😂"
2156,Key words country is behaving. All about control.
2157,Italy was a huge disaster for COVID because of the large number of Chinese traveling to Italy during the first COVID outbreak in the late fall of 2019 and the large elderly population severely suffering because of that very fact.
2158,"Was in italy in september, everyone was wearing masks in public. 👌"
2159,Nothing because it&#39;s a global problem.
2160,This tiny noisy minority.. Props to the Italians for being proper respectful humans
2161,".if you haven&#39;t learned yet to Be protected respecting distancing,something wrong with your brain..."
2162,"If you haven&#39;t heard, Omicron has already slipped past the watchers. A S. African official asked that his countrymen not be banned from travel b/c of Omicron, but S. Africa has its own travel rules. I don&#39;t get it. I also don&#39;t get how this new variant has already turned up in other countries. This has to mean that it was already on the move before scientists discovered it and banning travel from the region could be halted. I think you might need a HAZMAT suit to fly - even in first and business classes."
2163,People are vaccinated mostly in Italy. Unlike those in German
2164,Oh my 💔
2165,"Italy, the next Covid role model... (until the next round)"
2166,"Pumping up image quality, but with no avail !! My eyes were sweating ! :°("
2167,Good for the Italians ❤️🙏
2168,One Srilankan Person was killed by Mob in Sailkot( Pakistan) over false Accusations of Blasphemy. Very painful Tragedy 😭😭😭😭😭😭
2169,"I am indeed grateful to the Managing Director of the IMF Mrs. kristalina Georgieva,for the $150,000 Grant they gave to me and my family.May God continue to bless the IMF and World Bank,As they Empower Citizens of countries Affected by the Covid_19 pandemic,through their SME Loan and Grant Initiative"
2170,"What is important for italy to fight covid: vaccine, masks, social distancing ...  wow thats some news"
2171,"Shouldn&#39;t be what CAN we learn, more like what HAVE we learned?<br>Well...<br>NOTHING"
2172,"The video is confusing because they are showing Italy has the 2nd highest death rate while they are not doing anything different compared to the other countries with mask mandates and vaccinations......?!?! Don&#39;t forget, Italy has the 4th oldest population, so it was expected they would have a lot of vulnerable people that would pass away..."
