,Comments,Clean,Label
1640,"Now for people in other countries to finally listen, just get vaccinated.",people country finally listen get vaccinated,1
1641,Hope they get through .They make more sense than Germany who behave like brats and ego maniacs .Germany has to many sceptics and believers in freedom .Sure but not to infect others Well done Brazil.,hope get make sense germany behave like brat ego maniac germany many sceptic believer freedom sure not infect others well done brazil,0
1647,"the party that appears in this video is for poor children. and it was only carried out because the cases and deaths are very low. more every day we watch the newspaper on tv and we are informed if the cases have increased. we in Brazil do not live in the world of alice in wonderland. we are still very concerned about the new covid variations . we continue to use masks because they have always been mandatory here . Crowd is still frowned upon here , and when you have a party at a celebrity 's house , the guests are tested . people are only calmer because the percentage of deaths and infections is very low. but we are careful if it increases here. our thermometer (to find out if it's getting worse) is the TV and internet newspaper, twitter....we are informed every day with the news of any possible new virus.",party appears video poor child carried case death low every day watch newspaper tv informed case increased brazil not live world alice wonderland still concerned new covid variation continue use mask always mandatory crowd still frowned upon party celebrity house guest tested people calmer percentage death infection low careful increase thermometer find getting worse tv internet newspaper twitter informed every day news possible new virus,0
1658,"As the economy crisis keep rising,one needs to have different streams of income, a well detailed diversified investment portfolio in the financial markets is needed to survive, as well as secure a profitable investment future.",economy crisis keep rising one needs different stream income well detailed diversified investment portfolio financial market needed survive well secure profitable investment future,0
1675,"Why are you showing stock recordings from Toulouse, France in a segment about Covid in Brazil?",showing stock recording toulouse france segment covid brazil,0
1686,covid: So?,covid,0
1689,Congrats Brazil for not letting your hospitals from going out of control without excessive force on restrictions.,congrats brazil not letting hospital going control without excessive force restriction,0
1696,"Covid: ""Not too fast Brazil, have two more guests arriving for the holidays. Meet Omicron and ""stealth"" Omicron. They will be staying for a while.""",covid quot not fast brazil two guest arriving holiday meet omicron quot stealth quot omicron staying quot,0
1712,75% intoxicated good news for the pharma,intoxicated good news pharma,0
1718,"Stop terrorising people. I have dozens of fellows in Brazil, devide your terror by at least 50.   DW! You are spoiling years of your beautiful history. Stay in the side of the people (coffins have no pockets). God Bless You All (All) !",stop terrorising people dozen fellow brazil devide terror least dw spoiling year beautiful history stay side people coffin pocket god bless,0
1726,Philippines COVID cases now is only 300+ a day because so many has been vaccinated almost 90M people vaccinated for a population of 110M. National capital region is 95% fully vaccinated that's why we only have less than 100 cases a day. Most COVID wards in the hospitals are now closed. Some doesn't have COVID admission. Indeed vaccines work.,philippine covid case day many vaccinated almost people vaccinated population national capital region fully vaccinated less case day covid ward hospital closed covid admission indeed vaccine work,0
1731,Dr. Ms. Hodcroft is excellent at explaining things related to covid to us. Thank you to all the scientists for working so hard for the world!,dr m hodcroft excellent explaining thing related covid us thank scientist working hard world,0
1734,"Even though a lot of people may get it at the same time, it's looking like a very mild form, it may be an excellent vaccine in itself slowing delta down. Mutation is directly related to prevalence, so with that many getting it all at once, it may mutate again soon... We might get lucky though and it may be the beginning of the end for Covid. I doubt we can have tailored vaccines in time for something this infectious.",even though lot people may get time looking like mild form may excellent vaccine slowing delta mutation directly related prevalence many getting may mutate soon might get lucky though may beginning end covid doubt tailored vaccine time something infectious,0
1742,"love ur ""no BS"" coverage, thanks:)",love ur quot b quot coverage thanks,0
1748,"Good report. Will be interested to learn what % of people who get Omicron become long haul patients. The long haul impact of Covid is going to destroy our incredibly bad sick care system here in America. In America, that will probably be the best thing that comes out of this tragic pandemic.",good report interested learn people get omicron become long haul patient long haul impact covid going destroy incredibly bad sick care system america america probably best thing come tragic pandemic,0
1758,"The reaction from numerous countries' politicians is rather perplexing to me with regards to banning travel. Medical observations show a mild response with 3 days of discomfort. The natural immunity created by this variant is of great benefit to mankind so trying to stop it over the Delta variant seems counterproductive to progress. And no additional vaccines for a new variant would be thus required in the end. But then, what do I know about such things.....",reaction numerous country politician rather perplexing regard banning travel medical observation show mild response day discomfort natural immunity created variant great benefit mankind trying stop delta variant seems counterproductive progress additional vaccine new variant would thus required end know thing,0
1760,This is the best video of watched regarding omicron. It lacks the fear-mongering that most of these news sites are playing into.,best video watched regarding omicron lack fear mongering news site playing,0
1765,"Your voiceover seem to have made a common mistake. Almost immediately he said, ""that means that even vaccinated people can become infected."" That's because it's a vaccine and not a cure. You can always become infected if you have a vaccine but it's less likely that you will be severely affected by the virus, because you body has learnt how to fight it (in this case, attacking certain proteins on the outside of the virus). Whereas, if it was a cure (which it isn't), you would still be able to become infected, but it would save your life once the cure is administered to you, since a cure is only administered after you're already affected by something. There's a very big difference between a vaccine and a cure. One is preventative (vaccine) and the latter is reactive (to reverse the affects and save you). Please don't confuse the two. I've seen to many ignorant ""influencers"" sharing misinformation on social media arguing that ""vaccines don't work"" because they know people how have still contracted Covid even after having the vaccine. That's because it's not a cure... It might have saved their lives though.",voiceover seem made common mistake almost immediately said quot mean even vaccinated people become infected quot vaccine not cure always become infected vaccine le likely severely affected virus body learnt fight case attacking certain protein outside virus whereas cure would still able become infected would save life cure administered since cure administered already affected something big difference vaccine cure one preventative vaccine latter reactive reverse affect save please confuse two seen many ignorant quot influencers quot sharing misinformation social medium arguing quot vaccine work quot know people still contracted covid even vaccine not cure might saved life though,0
1768,"DW has turned into an official COVID representative, it's always COVID news in this channel.",dw turned official covid representative always covid news channel,0
1769,"If omicron is indeed far less severe, should we actually encourage the spread? I read an article that suggested the pandemic would be over if we didn't do mitigation. It is likely that without mitigation, more people would have died from Covid but think about all the economic and social destruction the Trump lockdowns caused. I'm not saying either way, just thinking out loud.",omicron indeed far le severe actually encourage spread read article suggested pandemic would mitigation likely without mitigation people would died covid think economic social destruction trump lockdown caused not saying either way thinking loud,0
1773,"I believe that the more viruses mutate, the more transmissible it gets, and at the same time the weaker it becomes. I hope that the Omicron variant is the tipping point for sars-covid2 when it finally becomes a mild form of the disease.",believe virus mutate transmissible get time weaker becomes hope omicron variant tipping point sars covid finally becomes mild form disease,0
1776,"A new study published on the preprint server bioRxiv* assesses the antiviral activity of stenoparib against four severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) variants of concern (VOCs). This study also focuses on the inhibition of the SARS-CoV-2 Alpha variant by a combination of stenoparib and remdesivir.<br>The researchers of the current study also evaluated the inhibitory action of a combination of stenoparib and remdesivir against the Alpha variant. Vero E6 cells were infected with the Alpha variant, which was followed by an assessment of the activity of stenoparib using the plaque reduction assay. Plaques are areas of dead or destroyed cells that appear as small, clear regions in an infected cell monolayer after staining.<br>For the analysis, lower doses of stenoparib were combined with the previously reported 50% effective concentration (EC50) of remdesivir. Neither stenoparib nor remdesivir achieved greater than a 50% reduction in plaquing efficiency compared to the infected, untreated cells.<br>When combined, the drugs acted synergistically and plaque inhibition increased to over 90%. This activity was superior to what was achieved with either drug alone. Notably, this combination did not cause significant cytotoxicity.<br>Since both remdesivir and stenoparib have two different mechanisms of action, the combined effect of these drugs appears to be synergistic. This provides the potential benefit of minimizing undesirable side effects by reducing individual doses of each drug.<br>Stenoparib effectively inhibits replication of SARS-CoV-2 wild-type and variant strains in vitro. A host-targeting drug like stenoparib may be beneficial for COVID-19 patients as a standalone therapy, or in combination with an antiviral drug such as remdesivir or molnupiravir.<br>Remdesivir and molnupiravir are known to inhibit the viral replicon, whereas stenoparib most likely acts through multiple targets. The current study provides a proof of concept that a combination of stenoparib and remdesivir or molnupiravir may be potent at inhibiting SARS-family coronaviruses, including SARS-CoV-2",new study published preprint server biorxiv ass antiviral activity stenoparib four severe acute respiratory syndrome coronavirus sars cov variant concern vocs study also focus inhibition sars cov alpha variant combination stenoparib remdesivir br researcher current study also evaluated inhibitory action combination stenoparib remdesivir alpha variant vero e cell infected alpha variant followed assessment activity stenoparib using plaque reduction assay plaque area dead destroyed cell appear small clear region infected cell monolayer staining br analysis lower dos stenoparib combined previously reported effective concentration ec remdesivir neither stenoparib remdesivir achieved greater reduction plaquing efficiency compared infected untreated cell br combined drug acted synergistically plaque inhibition increased activity superior achieved either drug alone notably combination not cause significant cytotoxicity br since remdesivir stenoparib two different mechanism action combined effect drug appears synergistic provides potential benefit minimizing undesirable side effect reducing individual dos drug br stenoparib effectively inhibits replication sars cov wild type variant strain vitro host targeting drug like stenoparib may beneficial covid patient standalone therapy combination antiviral drug remdesivir molnupiravir br remdesivir molnupiravir known inhibit viral replicon whereas stenoparib likely act multiple target current study provides proof concept combination stenoparib remdesivir molnupiravir may potent inhibiting sars family coronaviruses including sars cov,0
1778,"Expect more variants coming like the cold virus.  No cure just fear, division, control and mandates.",expect variant coming like cold virus cure fear division control mandate,0
1781,"I could be wrong but I'm pretty sure my generation won't see an end to this COVID-19 thing. At best, the pandemic could be up and down, but never off the table. We simply can't keep vaccinating the world every year, and hope people follow the prevention measures.",could wrong pretty sure generation see end covid thing best pandemic could never table simply keep vaccinating world every year hope people follow prevention measure,0
1800,Reports show that the virus variant Omicron b.1.1.529 discovered in November 2021 in Botswana and SA and now at 90% IS the entire caseload in South Africa. So more cases less sick. Yet again I keep hearing about vaccinated people having symptoms.  What about the unvaccinated?,report show virus variant omicron b discovered november botswana sa entire caseload south africa case le sick yet keep hearing vaccinated people symptom unvaccinated,0
1813,She very carefully skipped the most likely source of omicrons lack of evolution... The fact it was in a labs fridge.,carefully skipped likely source omicron lack evolution fact labs fridge,0
1819,"Thank you DW for educating and repeating what we need to do to win fight against Covid - vaccinate, get jibs and boosters and wear the fricken masks!!! Follow this rules and WE WILL WIN!",thank dw educating repeating need win fight covid vaccinate get jib booster wear fricken mask follow rule win,0
1821,"I'm far from crazy conspriracies but I do believe it wasn't a coincidence to have a institute of virology lab just right next to the place where Corona started spreading. So yes, I do believe it's manufactured and it left from them by accident. Now would it be even crazier theory to think they might designed a less severe and more contactive version of it to have the problem fixed? Some late night thoughts...",far crazy conspriracies believe coincidence institute virology lab right next place corona started spreading yes believe manufactured left accident would even crazier theory think might designed less severe contactive version problem fixed late night thought,0
1823,"Breakthrough infections is no new news, it was already happening with the Delta variant across the world in the double jabbed so I don't know what this scaremongering is all about. I've had my 2 jabs and will get the 3rd when offered one but I'm not gonna stop my life in the meantime.",breakthrough infection new news already happening delta variant across world double jabbed know scaremongering jab get rd offered one not gonna stop life meantime,0
1824,Most of the whitetail deer population in North America is infected with covid-19. 30 to 50 million deer if you include Canada. They are the number one most abundant large wild animal from Canada to the United States America,whitetail deer population north america infected covid million deer include canada number one abundant large wild animal canada united state america,0
1828,"DW stop saying Africa. But name those countries. Not all African countries have the gender gap when it comes to vaccines. Stop grouping us like we are one big country. We are not. We are not even related. Some nations are tired of this grouping. It's degrading because nations doing well are placed, at the same level as those failing",dw stop saying africa name country not african country gender gap come vaccine stop grouping us like one big country not not even related nation tired grouping degrading nation well placed level failing,0
1829,"Education and birth control are key to reducing poverty and hunger.<br>Lack of education opportunities for women and girls hurts their economic security. <br>Too many people are selfish and self centered. They do not care about anyone but themselves.<br>Seems like parents and teachers stopped teaching children the  ""Golden Rule"" 30 or 40 years ago.<br>We need to be kind to each other and take care of each other. Treat each other with kindness and respect. Protect yourself, your family and your community. Get vaccinated.  Be kind to people and animals. Do your part to reduce the impact of Climate Change. There is way too much violence in the world. Greed and selfishness are all too common. Parents and teachers are setting an example for children to follow. Too often this is a poor example of how to treat others.",education birth control key reducing poverty hunger br lack education opportunity woman girl hurt economic security br many people selfish self centered not care anyone br seems like parent teacher stopped teaching child quot golden rule quot year ago br need kind take care treat kindness respect protect family community get vaccinated kind people animal part reduce impact climate change way much violence world greed selfishness common parent teacher setting example child follow often poor example treat others,0
1833,"I'm not sure if the condition in Africa is the same as my country. But my country also has the same problem, the women are getting covid more than men. <br>Not because of the gender inequality, but because women are most likely to work in the market while men are work in the field. <br>Though some may say it is still can be categorized as gender inequality, we have our own role to fullfil. <br>It may not lived up to the western standart, but it is what it is. my country cannot keep up with the standart that western society.",not sure condition africa country country also problem woman getting covid men br not gender inequality woman likely work market men work field br though may say still categorized gender inequality role fullfil br may not lived western standart country cannot keep standart western society,0
1836,"China and India must be considered rich countries?( Fully Vaccinated :  China 1.1 billion, India 492 Million, US 199 Million, Brazil 100 Million)",china india must considered rich country fully vaccinated china billion india million us million brazil million,1
1851,"You people still believe Africa is a country, huh?<br>It's not, and btw, neither is Europe.<br>Back to school, kids.",people still believe africa country huh br not btw neither europe br back school kid,0
1858,"PSALM 10<br><br>1 Why standest thou afar off, O Lord? why hidest thou thyself in times of trouble?<br><br><br><br>2 The wicked in his pride doth persecute the poor: let them be taken in the devices that they have imagined.<br><br><br><br>3 For the wicked boasteth of his heart's desire, and blesseth the covetous, whom the Lord abhorreth.<br><br><br><br>4 The wicked, through the pride of his countenance, will not seek after God: God is not in all his thoughts.<br><br><br><br>5 His ways are always grievous; thy judgments are far above out of his sight: as for all his enemies, he puffeth at them.<br><br><br><br>6 He hath said in his heart, I shall not be moved: for I shall never be in adversity.<br><br><br><br>7 His mouth is full of cursing and deceit and fraud: under his tongue is mischief and vanity.<br><br><br><br>8 He sitteth in the lurking places of the villages: in the secret places doth he murder the innocent: his eyes are privily set against the poor.<br><br><br><br>9 He lieth in wait secretly as a lion in his den: he lieth in wait to catch the poor: he doth catch the poor, when he draweth him into his net.<br><br><br><br>10 He croucheth, and humbleth himself, that the poor may fall by his strong ones.<br><br><br><br>11 He hath said in his heart, God hath forgotten: he hideth his face; he will never see it.<br><br><br><br>12 Arise, O Lord; O God, lift up thine hand: forget not the humble.<br><br><br><br>13 Wherefore doth the wicked contemn God? he hath said in his heart, Thou wilt not require it.<br><br><br><br>14 Thou hast seen it; for thou beholdest mischief and spite, to requite it with thy hand: the poor committeth himself unto thee; thou art the helper of the fatherless.<br><br><br><br>15 Break thou the arm of the wicked and the evil man: seek out his wickedness till thou find none.<br><br><br><br>16 The Lord is King for ever and ever: the heathen are perished out of his land.<br><br><br><br>17 Lord, thou hast heard the desire of the humble: thou wilt prepare their heart, thou wilt cause thine ear to hear:<br><br><br><br>18 To judge the fatherless and the oppressed, that the man of the earth may no more oppress.<br><br>Romans 10:13 For whosoever shall call upon the name of the Lord shall be saved.<br><br>Philippians 2:10 That at the name of Jesus every knee should bow, of things in heaven, and things in earth, and things under the earth;<br><br>Call on JESUS!<br><br>ONLY JESUS SAVES!!",psalm br br standest thou afar lord hidest thou thyself time trouble br br br br wicked pride doth persecute poor let taken device imagined br br br br wicked boasteth heart desire blesseth covetous lord abhorreth br br br br wicked pride countenance not seek god god not thought br br br br way always grievous thy judgment far sight enemy puffeth br br br br hath said heart shall not moved shall never adversity br br br br mouth full cursing deceit fraud tongue mischief vanity br br br br sitteth lurking place village secret place doth murder innocent eye privily set poor br br br br lieth wait secretly lion den lieth wait catch poor doth catch poor draweth net br br br br croucheth humbleth poor may fall strong one br br br br hath said heart god hath forgotten hideth face never see br br br br arise lord god lift thine hand forget not humble br br br br wherefore doth wicked contemn god hath said heart thou wilt not require br br br br thou hast seen thou beholdest mischief spite requite thy hand poor committeth unto thee thou art helper fatherless br br br br break thou arm wicked evil man seek wickedness till thou find none br br br br lord king ever ever heathen perished land br br br br lord thou hast heard desire humble thou wilt prepare heart thou wilt cause thine ear hear br br br br judge fatherless oppressed man earth may oppress br br roman whosoever shall call upon name lord shall saved br br philippian name jesus every knee bow thing heaven thing earth thing earth br br call jesus br br jesus save,0
1873,I know in the US in WA state they need to take care of their employees a lot better. The staff never gets their breaks and they don't offer any kind of massage therapy at the hospital well their working. I can't believe they don't care for their employees health when they work 12 to 16 hour work days.,know us wa state need take care employee lot better staff never get break offer kind massage therapy hospital well working believe care employee health work hour work day,0
1880,"Every time we go through a pandemic, are they gonna referr back to covid-19 and do comparisons of what was what???",every time go pandemic gonna referr back covid comparison,0
1885,U.K Government was throwing a christmas party during the worst of U.K lockdown so you best believe I'll be following their lead and doing the same this year especially as this year we're in a better situation than back then.,u k government throwing christmas party worst u k lockdown best believe following lead year especially year better situation back,0
1888,"Apply the following diet plan strictly for some days during covid 19 infection and you have no fear of any type of pneumonia and inflammation. <br>Non - inflammatory food list <br>1. All the meaty products [everything, like eggs,  pork, beef, mutton, chicken, fish etc.(eat them  grilled or boiled or you can use pure mustard oil or pure butter clarified to cook them )] . <br>2. Wheat ( and all the products that are made from pure wheat, not biscuits or cookies because they contain vegetables oil). <br>3. Gram, cheakpea( chana or kabuli chana). Masoor dal. <br>5. Green leaves like spinach, lettuce, etc.  ( green leaves mustn't be sour or bitter ). <br>6. All the Derry products (they must be made of pure animal milk like butter clarified,  curd, cheese, fresh milk ). <br>7. Pure Mustard oil, turmeric powder, red chili powder , white sugar, sea salt, coriander powder and leaves, butter clarified. <br>8. Lemon and curd ( lemon and curd are non - inflammatory things  but they act differently with different  foods, with the suggested foods these things would never be a cause for inflammation). <br>If someone  get affected with covid 19, he must avoid lemon for some days because he already would have eaten something that lemon acts as inflammatory thing. But if the patient  eating strictly the suggested diet for more than 18 days then he can add lemon  in his regular diet it will never be inflammatory then. The patient has to apply this diet plan very very strictly because consumption of a single fruit, dry fruit, vegetable, or non suggested grain, lentil or vegetable oil can affect the whole result. <br>Note- feed your infants with mother milk or pure animal milk,( formula  milk acts like a poison during the covid 19 infection because it contains vegetables oil.<br>(if the patient follows this diet plan strictly his body acts over covid 19 like an animal body does, he may  get affected  but  never faces the worst ),,..",apply following diet plan strictly day covid infection fear type pneumonia inflammation br non inflammatory food list br meaty product everything like egg pork beef mutton chicken fish etc eat grilled boiled use pure mustard oil pure butter clarified cook br wheat product made pure wheat not biscuit cooky contain vegetable oil br gram cheakpea chana kabuli chana masoor dal br green leaf like spinach lettuce etc green leaf sour bitter br derry product must made pure animal milk like butter clarified curd cheese fresh milk br pure mustard oil turmeric powder red chili powder white sugar sea salt coriander powder leaf butter clarified br lemon curd lemon curd non inflammatory thing act differently different food suggested food thing would never cause inflammation br someone get affected covid must avoid lemon day already would eaten something lemon act inflammatory thing patient eating strictly suggested diet day add lemon regular diet never inflammatory patient apply diet plan strictly consumption single fruit dry fruit vegetable non suggested grain lentil vegetable oil affect whole result br note feed infant mother milk pure animal milk formula milk act like poison covid infection contains vegetable oil br patient follows diet plan strictly body act covid like animal body may get affected never face worst,0
1889,The health care works do not feel valued? How about those that are unvaccinated? The health care workers are treating patients bad because they are unvaxxed.  It goes both ways.,health care work not feel valued unvaccinated health care worker treating patient bad unvaxxed go way,0
1890,You can start by paying nurses decent money. At least 4K EUR after tax.,start paying nurse decent money least k eur tax,1
1891,"Listening to the first minute of this: why do you spin leaving health care personal to blame the unvaccinated??? Is there an agenda on dw to refer to the unvaccinated as negatively and as often as possible?<br>What is your aim in this? Split society, unperson unvaccinated people and finally get rid of them in one way or another?",listening first minute spin leaving health care personal blame unvaccinated agenda dw refer unvaccinated negatively often possible br aim split society unperson unvaccinated people finally get rid one way another,0
1892,OPEN A STADIUM FOR JUST COVID! SEPARATE VACCINATED FROM INVACCINATED,open stadium covid separate vaccinated invaccinated,0
1893,I have an idea.  Stop making viruses in labs!,idea stop making virus lab,0
1897,Dont treat those that are unvaccinated.,dont treat unvaccinated,0
1902,Never ending Covid,never ending covid,0
1903,"Governments can implement laws, regulations and mandates overnight... but somehow they can't be on the side of doctors and nurses. If an unvaccinated patient comes in, they should go to the back of the line, the government can take the brunt of the criticism, it'll survive. Doctors and nurses... they don't have a choice.",government implement law regulation mandate overnight somehow side doctor nurse unvaccinated patient come go back line government take brunt criticism survive doctor nurse choice,0
1905,Main thing is have international law banning all bio labs around the globe.,main thing international law banning bio lab around globe,0
1907,Anyone unvaccinated and gets COVID requiring hospitalization should be paying the bill,anyone unvaccinated get covid requiring hospitalization paying bill,0
1911,"We're all going to die one day ,so stop worrying and get on with it",going die one day stop worrying get,0
1915,"How about , keeping the high hope and be supportive!? People , some of us, had problems due the vaccination in past! Beside this, why to accepte something that don.t do what promissed!? There are with rish those jabs, maybe, homeopathy work wonders, like.n 1918! Unfortunatly it.s 2 much Em radiation, that neutrialise the homeopathic remedies!!""water memory""= Luc Montagner""! But.s still hope!",keeping high hope supportive people us problem due vaccination past beside accepte something promissed rish jab maybe homeopathy work wonder like n unfortunatly much em radiation neutrialise homeopathic remedy quot water memory quot luc montagner quot still hope,0
1921,hire nurses from the philippines. they are the best of the best. they love and care the patients.,hire nurse philippine best best love care patient,1
1922,"I am fully vaccinated and will soon get a booster shot, but the head doctor in the video said that 20% of intensive care units are filled with non vaccinated people (@<a href=""https://www.youtube.com/watch?v=8hs5DGMh9jA&t=2m15s"">2:15</a>).That means 80% is filled with people who are vaccinated and fell ill or what? I might be missing something, Are vaccinated people falling ill and being admitted to intensive care units in such numbers? Any honest answers please!",fully vaccinated soon get booster shot head doctor video said intensive care unit filled non vaccinated people href https www youtube com watch v hsdgmhja amp m mean filled people vaccinated fell ill might missing something vaccinated people falling ill admitted intensive care unit number honest answer please,1
1926,What can we learn from countries that did a good job?<br>- Control of the citizens through a mobile app,learn country good job br control citizen mobile app,0
1927,Recruit doctors and nurses from other european/asian countries who can speak English and let them handle patients who can speak English in this way the doctors who only know German can deal with German speaking patients and don't get overwhelmed!!,recruit doctor nurse european asian country speak english let handle patient speak english way doctor know german deal german speaking patient get overwhelmed,1
1928,How do you deal with this problem?  Start by not pretending that it's about money.<br><br>1) Kick the MBA's out of the top rank of decision making.  <br>2) Train more staff. Period.<br>3) Expand facilities to handle greater capacity (see #1 above).<br>4) Educate the public.  Stop acting as if medicine is some kind of arcane knowledge.  Decrease the workload.<br>5) Acknowledge that certain interested parties are holding the society hostage (see #1 above).<br><br>Take the money out of the equation and you will find that the solution is right in front of you.  <br>.,deal problem start not pretending money br br kick mba top rank decision making br train staff period br expand facility handle greater capacity see br educate public stop acting medicine kind arcane knowledge decrease workload br acknowledge certain interested party holding society hostage see br br take money equation find solution right front br,0
1932,"Xxxxx Worls lifestyletv, are U serious!? Al countries have their oen troublr now, how 2 manage an exterior problem!? Where I live.s a v pour country, we can.t even help our own! No equipement, no suplies, no no nothing! Just keep up the hope!it will pass! We can coopeate,yess! Faith and colecyive prayer do wonders! No demands! Cooperation ! Can we all try!?",xxxxx worls lifestyletv u serious al country oen troublr manage exterior problem live v pour country even help equipement suplies nothing keep hope pas coopeate yes faith colecyive prayer wonder demand cooperation try,0
1939,Haha fear mongering msm,haha fear mongering msm,0
1941,"Apply the following diet plan strictly for some days during covid 19 infection and you have no fear of any type of pneumonia and inflammation. <br>Non - inflammatory food list <br>1. All the meaty products [everything, like eggs,  pork, beef, mutton, chicken, fish etc.(eat them  grilled or boiled or you can use pure mustard oil or pure butter clarified to cook them )] . <br>2. Wheat ( and all the products that are made from pure wheat, not biscuits or cookies because they contain vegetables oil). <br>3. Gram, cheakpea( chana or kabuli chana). Masoor dal. <br>5. Green leaves like spinach, lettuce, etc.  ( green leaves mustn't be sour or bitter ). <br>6. All the Derry products (they must be made of pure animal milk like butter clarified,  curd, cheese, fresh milk ). <br>7. Pure Mustard oil, turmeric powder, red chili powder , white sugar, sea salt, coriander powder and leaves, butter clarified. <br>8. Lemon and curd ( lemon and curd are non - inflammatory things  but they act differently with different  foods, with the suggested foods they never be a cause for inflammation). <br>If someone get affected with covid 19, he must avoid lemon for some days because he already would have eaten something that lemon acts as inflammatory thing. But if the patient  eating strictly the suggested diet for more than 18 days then he can add lemon  in his regular diet it will never be inflammatory then. The patient has to apply this diet plan very very strictly because consumption of a single fruit, dry fruit, vegetable, or non suggested grain, lentil or vegetable oil can affect the whole result. <br>Note- feed your infants with mother milk or pure animal milk,( formula  milk acts like a poison during the covid 19 infection because it contains vegetables oil.<br>(if the patient follows this diet plan strictly his body acts over covid 19 like an animal body does, he may  get affected  but  never faces the worst ),,..,,..",apply following diet plan strictly day covid infection fear type pneumonia inflammation br non inflammatory food list br meaty product everything like egg pork beef mutton chicken fish etc eat grilled boiled use pure mustard oil pure butter clarified cook br wheat product made pure wheat not biscuit cooky contain vegetable oil br gram cheakpea chana kabuli chana masoor dal br green leaf like spinach lettuce etc green leaf sour bitter br derry product must made pure animal milk like butter clarified curd cheese fresh milk br pure mustard oil turmeric powder red chili powder white sugar sea salt coriander powder leaf butter clarified br lemon curd lemon curd non inflammatory thing act differently different food suggested food never cause inflammation br someone get affected covid must avoid lemon day already would eaten something lemon act inflammatory thing patient eating strictly suggested diet day add lemon regular diet never inflammatory patient apply diet plan strictly consumption single fruit dry fruit vegetable non suggested grain lentil vegetable oil affect whole result br note feed infant mother milk pure animal milk formula milk act like poison covid infection contains vegetable oil br patient follows diet plan strictly body act covid like animal body may get affected never face worst,0
1945,Fear mongering.,fear mongering,0
1946,Unlimited covid19 Jesus Christ is coming repent is not too late at the end of the world,unlimited covid jesus christ coming repent not late end world,0
1965,"Interestingly, South Africa was not requiring people to be vaccinated to enter the country and was enjoying the unvaccinated tourism and now, having a huge spike, feels they are being punished.",interestingly south africa not requiring people vaccinated enter country enjoying unvaccinated tourism huge spike feel punished,0
1967,"Other countries want to reduce the seeding rate from places where Omicron is rampant, same as South Africa put travel bans in earlier.",country want reduce seeding rate place omicron rampant south africa put travel ban earlier,0
1969,"Life after covid infections will see ,I hope ,the deletion of huge gatherings and festivals because of it being a spreader event  but mostly it is a drug event ...we do need these release times and masses of people creates a great feeling but unfortunately they create more harm than good .....smaller  outdoor events would be better ...festivals used to be like that ..",life covid infection see hope deletion huge gathering festival spreader event mostly drug event need release time mass people creates great feeling unfortunately create harm good smaller outdoor event would better festival used like,0
1971,"All who wanted to attend Rage had to get vaccinated and have negative pcr tests. Everyone is fine in SA, no need to panic. Life is still normal here, don't know why they're making such a fuss. We're just fine. The informal settlements make up most of our population and they've NEVER been on lockdown. Breath, live life xxx Bless you all!",wanted attend rage get vaccinated negative pcr test everyone fine sa need panic life still normal know making fuss fine informal settlement make population never lockdown breath live life xxx bless,1
1977,"So the virologist criticises the countries which have stopped passenger travel to SA yet he praises the cancellation of a local festival. Mr virologist, cutting the transmission rate in other countries is more important then feeding the SA tourist season",virologist criticises country stopped passenger travel sa yet praise cancellation local festival mr virologist cutting transmission rate country important feeding sa tourist season,0
1988,"Just let this sink in. South Africa is testing a lot and they have a lot of cases of the new omicron variant. Meanwhile, its neighboring countries don't test a lot and they don't have a lot of covid cases. Their hospitals are also mostly covid free. It seems that not giving attention to the covid virus and living life as usual is the way to treat this Wuhan virus.",let sink south africa testing lot lot case new omicron variant meanwhile neighboring country test lot lot covid case hospital also mostly covid free seems not giving attention covid virus living life usual way treat wuhan virus,0
1993,Is there any possibility you are likely to get it worse the second / third time of having covid? Thanks,possibility likely get worse second third time covid thanks,0
2017,I wish there were other ways to stop the spread without punishing the South African people.,wish way stop spread without punishing south african people,0
2018,"thank you south africa , much love from usa .... we love you  ..i will not fear the virus , like phorah did the plagues , i fear the MOST HIGH .............. GOD BLESS SOUTH AFRICA",thank south africa much love usa love not fear virus like phorah plague fear high god bless south africa,0
2020,"japan has 60 cases of covid per day now, they gave permission for doctors to proscribe ivermectin on 13 /08/2021",japan case covid per day gave permission doctor proscribe ivermectin,0
2023,Covid is becoming more like cryptocurrency.,covid becoming like cryptocurrency,0
2044,That's the problem life got back to normal.  We can't have that they want total control.,problem life got back normal want total control,0
2050,"When you speak about vaccinated vs unvaccinated, please refer to demographics, otherwise your assertions are meaningless. Unvaccinated children get over covid much easier than vaccinated adults and elderly who have breakthrough infections. Breakthrough infections, by the way, are becoming very common amongst those who received their dose five or more months in the past.",speak vaccinated v unvaccinated please refer demographic otherwise assertion meaningless unvaccinated child get covid much easier vaccinated adult elderly breakthrough infection breakthrough infection way becoming common amongst received dose five month past,0
2051,Just wondering when you say unvaccinated do you also mean the same issues apply to those who have recovered?,wondering say unvaccinated also mean issue apply recovered,0
